ExperienceYears,Count,Education,Count,Certifications,Count,JobRole,Count,RecruiterDecision,Count,SalaryExpectation,Count,ProjectsCount,Count,AIScore,Count,Skill1,Count,Skill2,Count,Skill3,Count
3.0,1347.0,B.Sc,10435.0,None,14080.0,AI Researcher,13059.0,Hire,41356.0,166083,5,8.0,2547.0,100.0,974.0,sql,6780.0,python,6436.0,python,17006.0
5.0,1327.0,B.Tech,10362.0,Deep Learning Specialization,13046.0,Cybersecurity Analyst,13002.0,Reject,9644.0,54607,5,0.0,2523.0,85.0,593.0,python,6519.0,sql,5398.0,sql,7732.0
7.0,1326.0,MBA,10248.0,AWS Certified,12453.0,Data Scientist,12968.0,,,38230,5,6.0,2511.0,65.0,585.0,tensorflow,3695.0,machine learning,3824.0,ethical hacking,3397.0
9.0,1325.0,PhD,10012.0,Google ML,11421.0,Software Engineer,11971.0,,,128539,4,1.0,2506.0,80.0,561.0,pytorch,3482.0,tensorflow,3777.0,linux,2475.0
0.0,1313.0,M.Tech,9943.0,,,,,,,63009,4,10.0,2499.0,27.0,552.0,cybersecurity,3465.0,nlp,3453.0,nlp,2409.0
19.0,1312.0,,,,,,,,,186747,4,7.0,2492.0,95.0,549.0,ethical hacking,3410.0,java,3433.0,machine learning,2267.0
8.0,1299.0,,,,,,,,,144209,4,2.0,2455.0,53.0,546.0,networking,3247.0,networking,3394.0,java,2221.0
1.0,1295.0,,,,,,,,,31014,4,17.0,2429.0,36.0,546.0,java,3077.0,ethical hacking,3312.0,pytorch,2051.0
10.0,1287.0,,,,,,,,,69792,4,9.0,2425.0,57.0,545.0,react,2991.0,deep learning,3279.0,deep learning,2041.0
11.0,1286.0,,,,,,,,,62907,4,3.0,2424.0,97.0,545.0,deep learning,2951.0,linux,3205.0,tensorflow,2020.0
2.0,1280.0,,,,,,,,,68712,4,4.0,2423.0,70.0,542.0,c,2928.0,cybersecurity,3083.0,react,1988.0
4.0,1280.0,,,,,,,,,136302,4,5.0,2421.0,60.0,539.0,machine learning,2884.0,pytorch,2925.0,c,1930.0
6.0,1275.0,,,,,,,,,78272,4,18.0,2410.0,81.0,537.0,linux,2872.0,c,2770.0,networking,1845.0
18.0,1267.0,,,,,,,,,49527,4,16.0,2401.0,54.0,535.0,nlp,2699.0,react,2711.0,cybersecurity,1618.0
39.0,1266.0,,,,,,,,,124854,4,20.0,2393.0,55.0,534.0,,,,,,
12.0,1257.0,,,,,,,,,151110,4,11.0,2388.0,75.0,534.0,,,,,,
31.0,1253.0,,,,,,,,,113373,4,12.0,2383.0,22.0,531.0,,,,,,
26.0,1245.0,,,,,,,,,122349,4,14.0,2362.0,93.0,529.0,,,,,,
27.0,1244.0,,,,,,,,,130357,4,15.0,2345.0,98.0,529.0,,,,,,
16.0,1235.0,,,,,,,,,66737,4,19.0,2334.0,90.0,529.0,,,,,,
20.0,1230.0,,,,,,,,,92595,4,13.0,2329.0,59.0,528.0,,,,,,
23.0,1228.0,,,,,,,,,149179,4,,,43.0,528.0,,,,,,
13.0,1228.0,,,,,,,,,106327,4,,,83.0,527.0,,,,,,
17.0,1226.0,,,,,,,,,189930,4,,,15.0,525.0,,,,,,
21.0,1225.0,,,,,,,,,62073,4,,,63.0,524.0,,,,,,
25.0,1223.0,,,,,,,,,35832,4,,,51.0,523.0,,,,,,
34.0,1218.0,,,,,,,,,110870,4,,,14.0,523.0,,,,,,
14.0,1217.0,,,,,,,,,86335,4,,,0.0,521.0,,,,,,
22.0,1216.0,,,,,,,,,125986,4,,,86.0,521.0,,,,,,
40.0,1216.0,,,,,,,,,126105,4,,,35.0,518.0,,,,,,
28.0,1212.0,,,,,,,,,57349,4,,,40.0,517.0,,,,,,
32.0,1199.0,,,,,,,,,54855,4,,,50.0,514.0,,,,,,
33.0,1199.0,,,,,,,,,195552,4,,,7.0,513.0,,,,,,
35.0,1195.0,,,,,,,,,192866,4,,,11.0,513.0,,,,,,
24.0,1194.0,,,,,,,,,143906,4,,,69.0,512.0,,,,,,
30.0,1192.0,,,,,,,,,157988,4,,,68.0,511.0,,,,,,
15.0,1191.0,,,,,,,,,66533,4,,,18.0,511.0,,,,,,
37.0,1185.0,,,,,,,,,107835,4,,,61.0,508.0,,,,,,
29.0,1183.0,,,,,,,,,72321,4,,,78.0,508.0,,,,,,
38.0,1159.0,,,,,,,,,128052,4,,,91.0,508.0,,,,,,
36.0,1145.0,,,,,,,,,176718,4,,,88.0,507.0,,,,,,
,,,,,,,,,,37180,3,,,6.0,505.0,,,,,,
,,,,,,,,,,154813,3,,,71.0,505.0,,,,,,
,,,,,,,,,,170405,3,,,84.0,503.0,,,,,,
,,,,,,,,,,107468,3,,,96.0,501.0,,,,,,
,,,,,,,,,,43035,3,,,16.0,500.0,,,,,,
,,,,,,,,,,184262,3,,,92.0,499.0,,,,,,
,,,,,,,,,,152756,3,,,30.0,499.0,,,,,,
,,,,,,,,,,142076,3,,,19.0,499.0,,,,,,
,,,,,,,,,,155421,3,,,13.0,498.0,,,,,,
,,,,,,,,,,186342,3,,,72.0,498.0,,,,,,
,,,,,,,,,,160469,3,,,79.0,497.0,,,,,,
,,,,,,,,,,138866,3,,,31.0,497.0,,,,,,
,,,,,,,,,,95728,3,,,23.0,496.0,,,,,,
,,,,,,,,,,36063,3,,,17.0,495.0,,,,,,
,,,,,,,,,,160323,3,,,25.0,493.0,,,,,,
,,,,,,,,,,104979,3,,,73.0,493.0,,,,,,
,,,,,,,,,,108626,3,,,64.0,493.0,,,,,,
,,,,,,,,,,149757,3,,,52.0,489.0,,,,,,
,,,,,,,,,,193339,3,,,24.0,489.0,,,,,,
,,,,,,,,,,123825,3,,,49.0,488.0,,,,,,
,,,,,,,,,,120166,3,,,38.0,488.0,,,,,,
,,,,,,,,,,114067,3,,,10.0,487.0,,,,,,
,,,,,,,,,,105305,3,,,32.0,486.0,,,,,,
,,,,,,,,,,90293,3,,,2.0,486.0,,,,,,
,,,,,,,,,,136249,3,,,66.0,486.0,,,,,,
,,,,,,,,,,39571,3,,,37.0,485.0,,,,,,
,,,,,,,,,,166232,3,,,3.0,485.0,,,,,,
,,,,,,,,,,56205,3,,,58.0,483.0,,,,,,
,,,,,,,,,,61364,3,,,62.0,482.0,,,,,,
,,,,,,,,,,50888,3,,,99.0,482.0,,,,,,
,,,,,,,,,,84358,3,,,39.0,480.0,,,,,,
,,,,,,,,,,175841,3,,,4.0,479.0,,,,,,
,,,,,,,,,,36178,3,,,8.0,479.0,,,,,,
,,,,,,,,,,162986,3,,,33.0,479.0,,,,,,
,,,,,,,,,,147831,3,,,41.0,479.0,,,,,,
,,,,,,,,,,198411,3,,,94.0,478.0,,,,,,
,,,,,,,,,,56818,3,,,34.0,477.0,,,,,,
,,,,,,,,,,114235,3,,,45.0,477.0,,,,,,
,,,,,,,,,,184437,3,,,76.0,477.0,,,,,,
,,,,,,,,,,58985,3,,,56.0,476.0,,,,,,
,,,,,,,,,,177115,3,,,28.0,476.0,,,,,,
,,,,,,,,,,48359,3,,,46.0,476.0,,,,,,
,,,,,,,,,,45453,3,,,89.0,475.0,,,,,,
,,,,,,,,,,127962,3,,,29.0,474.0,,,,,,
,,,,,,,,,,104675,3,,,44.0,472.0,,,,,,
,,,,,,,,,,95743,3,,,21.0,470.0,,,,,,
,,,,,,,,,,159143,3,,,67.0,469.0,,,,,,
,,,,,,,,,,108309,3,,,12.0,468.0,,,,,,
,,,,,,,,,,199820,3,,,82.0,466.0,,,,,,
,,,,,,,,,,76175,3,,,74.0,466.0,,,,,,
,,,,,,,,,,57685,3,,,26.0,466.0,,,,,,
,,,,,,,,,,51979,3,,,48.0,466.0,,,,,,
,,,,,,,,,,54579,3,,,1.0,462.0,,,,,,
,,,,,,,,,,187164,3,,,47.0,462.0,,,,,,
,,,,,,,,,,195717,3,,,77.0,460.0,,,,,,
,,,,,,,,,,167659,3,,,9.0,458.0,,,,,,
,,,,,,,,,,79066,3,,,5.0,456.0,,,,,,
,,,,,,,,,,116970,3,,,42.0,446.0,,,,,,
,,,,,,,,,,86420,3,,,87.0,432.0,,,,,,
