iter	Logloss
0	0.6708292045
1	0.6509358365
2	0.633115372
3	0.6172606285
4	0.6031752822
5	0.5905094102
6	0.5792975931
7	0.5692063186
8	0.5602476472
9	0.5521200562
10	0.5448385351
11	0.5383040245
12	0.5325168056
13	0.5273489111
14	0.522715104
15	0.5186004998
16	0.5148625303
17	0.5115231204
18	0.5085292113
19	0.5058261677
20	0.5033999394
21	0.5012311958
22	0.4991887889
23	0.4974828862
24	0.4959142498
25	0.4945489891
26	0.4932519501
27	0.4921149699
28	0.4910625144
29	0.490135881
30	0.4892809251
31	0.4884975119
32	0.4877821171
33	0.4871997579
34	0.486625827
35	0.4860779317
36	0.485624249
37	0.4851051809
38	0.4847156899
39	0.4844210845
40	0.4840816333
41	0.4836528015
42	0.4832422533
43	0.4829197154
44	0.4826409673
45	0.4823854603
46	0.4821432944
47	0.4817961569
48	0.4815605493
49	0.481361075
50	0.4811849377
51	0.4810003124
52	0.4807840594
53	0.480584262
54	0.4804129118
55	0.4802506361
56	0.4801202183
57	0.4799420256
58	0.4798129781
59	0.4796996592
60	0.4796077773
61	0.479527175
62	0.4794151934
63	0.4793747277
64	0.479294637
65	0.4791946591
66	0.4790796527
67	0.4789528761
68	0.4788261982
69	0.4787213643
70	0.4786229332
71	0.4785445269
72	0.4784605916
73	0.4783561437
74	0.4782389203
75	0.4781487858
76	0.478052446
77	0.4779727861
78	0.477849911
79	0.4777699011
80	0.4776935802
81	0.477625161
82	0.4775053735
83	0.4774490506
84	0.4773394865
85	0.4772400411
86	0.4772373603
87	0.4771516628
88	0.4770717127
89	0.4769777605
90	0.4769206298
91	0.4768321737
92	0.4767446241
93	0.476671373
94	0.4765931851
95	0.4765430406
96	0.4764453783
97	0.4763727884
98	0.47632925
99	0.4762329341
100	0.4761684044
101	0.4760916437
102	0.4760034299
103	0.4758844652
104	0.4758287437
105	0.4757571052
106	0.4756781036
107	0.4756150997
108	0.4754893374
109	0.4753995828
110	0.4753391281
111	0.4752381478
112	0.4751583384
113	0.4750692839
114	0.474981477
115	0.4748867349
116	0.4748220765
117	0.4747432365
118	0.4746555942
119	0.4745466853
120	0.4744672499
121	0.474378707
122	0.4742825078
123	0.4741928071
124	0.4741003538
125	0.4739879354
126	0.4739283543
127	0.4738093028
128	0.473753336
129	0.4736941828
130	0.4736177901
131	0.4735341749
132	0.4734693699
133	0.4733826252
134	0.47330015
135	0.4732084566
136	0.4731063334
137	0.4729883321
138	0.4729327752
139	0.4728783073
140	0.4727870956
141	0.4727496128
142	0.472647717
143	0.4725608167
144	0.4724902374
145	0.472410039
146	0.4723164218
147	0.4722495105
148	0.4722469105
149	0.4721555074
150	0.4720730531
151	0.4720100104
152	0.471924983
153	0.4718477975
154	0.4717925756
155	0.4717265828
156	0.4716286783
157	0.4715684779
158	0.4715071704
159	0.4714039642
160	0.4713312875
161	0.4712511489
162	0.4711798515
163	0.4711220925
164	0.4710592711
165	0.4709657078
166	0.4709435915
167	0.4708640005
168	0.4707735219
169	0.4706974493
170	0.4706341313
171	0.4705600305
172	0.4704720441
173	0.4703779482
174	0.4703004815
175	0.4702134346
176	0.4701451799
177	0.4700928901
178	0.4700477181
179	0.4699765104
180	0.4699130189
181	0.4698221364
182	0.4697387366
183	0.4696498856
184	0.4695743007
185	0.4695091786
186	0.4694443048
187	0.4693597083
188	0.4692808952
189	0.4692215654
190	0.4691463485
191	0.4690762209
192	0.4689837557
193	0.468904395
194	0.46882592
195	0.4687376523
196	0.4686630847
197	0.468581172
198	0.4685235745
199	0.4684425593
200	0.468413074
201	0.4683345989
202	0.4682505379
203	0.4681851286
204	0.4681084726
205	0.4680527063
206	0.4679896605
207	0.4678908225
208	0.467815088
209	0.4677376751
210	0.4676461822
211	0.4675646045
212	0.4674760467
213	0.4673893648
214	0.4673023927
215	0.4671962125
216	0.4671168009
