iter	Passed	Remaining
0	74	74513
1	102	51272
2	116	38869
3	129	32239
4	142	28346
5	161	26704
6	173	24588
7	199	24686
8	221	24351
9	236	23373
10	248	22384
11	261	21553
12	275	20910
13	288	20307
14	302	19880
15	313	19300
16	328	18995
17	342	18666
18	354	18320
19	369	18100
20	381	17795
21	396	17624
22	409	17385
23	428	17428
24	445	17385
25	457	17154
26	471	16992
27	484	16802
28	495	16584
29	507	16404
30	518	16200
31	529	16031
32	542	15893
33	551	15659
34	562	15513
35	572	15338
36	584	15208
37	596	15103
38	607	14970
39	615	14763
40	628	14689
41	640	14615
42	652	14532
43	664	14429
44	675	14339
45	688	14274
46	705	14296
47	720	14281
48	736	14293
49	754	14340
50	770	14328
51	785	14323
52	799	14278
53	813	14247
54	827	14210
55	839	14147
56	851	14095
57	864	14040
58	879	14022
59	894	14015
60	909	13996
61	919	13916
62	931	13855
63	943	13798
64	956	13756
65	970	13727
66	983	13697
67	999	13694
68	1012	13667
69	1029	13676
70	1050	13741
71	1067	13759
72	1090	13846
73	1110	13898
74	1132	13961
75	1151	14000
76	1166	13987
77	1182	13974
78	1195	13939
79	1210	13915
80	1223	13882
81	1237	13855
82	1257	13898
83	1272	13873
84	1287	13858
85	1303	13852
86	1310	13751
87	1324	13724
88	1337	13685
89	1351	13665
90	1362	13614
91	1374	13566
92	1387	13532
93	1401	13506
94	1414	13475
95	1426	13429
96	1436	13373
97	1447	13319
98	1457	13265
99	1470	13233
100	1480	13179
101	1491	13129
102	1502	13088
103	1516	13061
104	1526	13015
105	1538	12975
106	1550	12937
107	1560	12892
108	1573	12865
109	1585	12825
110	1596	12784
111	1608	12749
112	1619	12712
113	1631	12682
114	1643	12648
115	1657	12632
116	1669	12596
117	1681	12569
118	1693	12534
119	1706	12514
120	1719	12494
121	1730	12456
122	1741	12420
123	1753	12384
124	1765	12359
125	1778	12339
126	1791	12312
127	1805	12303
128	1819	12287
129	1834	12275
130	1846	12250
131	1856	12210
132	1868	12183
133	1880	12152
134	1890	12116
135	1902	12083
136	1916	12069
137	1929	12050
138	1940	12020
