iter	Logloss
0	0.6500935325
1	0.616145706
2	0.5891207764
3	0.5677344705
4	0.5507726329
5	0.5372702692
6	0.526553334
7	0.5180128134
8	0.5110616471
9	0.5056285921
10	0.501303444
11	0.4976462612
12	0.4948867499
13	0.4926757733
14	0.4908851526
15	0.4894620656
16	0.4883188175
17	0.4873996842
18	0.4864321218
19	0.4858402461
20	0.4853582638
21	0.4849740605
22	0.4846384167
23	0.4843886245
24	0.4841870402
25	0.4840222621
26	0.4838708164
27	0.483377469
28	0.4830747231
29	0.4830071814
30	0.4828996094
31	0.4827184919
32	0.4825574855
33	0.4822629454
34	0.4820566418
35	0.481988683
36	0.4818016603
37	0.4817193473
38	0.48163249
39	0.4816013038
40	0.4814215382
41	0.4813618247
42	0.4813497548
43	0.4813423661
44	0.4812855816
45	0.4811829983
46	0.4810894241
47	0.4810602753
48	0.4809828981
49	0.4809786742
50	0.4808954704
51	0.4808882254
52	0.4808247356
53	0.480790257
54	0.4807282874
55	0.4806482224
56	0.4806199598
57	0.4805912755
58	0.4805484111
59	0.4804519062
60	0.4803924808
61	0.4801995499
62	0.4801922292
63	0.4801843525
64	0.4801843444
65	0.4801843443
66	0.4801000295
67	0.4799701862
68	0.4799234185
69	0.4798353031
70	0.4796880565
71	0.4796332638
72	0.4795791336
73	0.479535115
74	0.4794660751
75	0.4794660731
76	0.4793827805
77	0.4793086855
78	0.4792924359
79	0.4792606898
80	0.4791369067
81	0.4791369065
82	0.4789940032
83	0.4788849181
84	0.4788793746
85	0.4788642612
86	0.4788440407
87	0.4787756745
88	0.478563569
89	0.4785225297
90	0.4783161844
91	0.4782873289
92	0.4782150684
93	0.4781966034
94	0.4780765943
95	0.4780765729
96	0.477923188
97	0.4778976223
98	0.4777620079
99	0.4777087138
100	0.4776115366
101	0.4775793667
102	0.4775083337
103	0.4773413809
104	0.4772456718
105	0.4771929066
106	0.477146224
107	0.477065391
108	0.4770213592
109	0.4768997191
110	0.4767027824
111	0.4765929573
112	0.4765225369
113	0.4764155902
114	0.4763448793
115	0.4762590699
116	0.476153609
117	0.4759974875
118	0.4759655887
119	0.4757699187
120	0.4756386077
121	0.475511406
122	0.4753487583
123	0.4752026592
124	0.4751597573
125	0.475101214
126	0.4748950138
127	0.4747713908
128	0.474723
129	0.4745813653
130	0.4745105477
131	0.4744338577
132	0.4742660039
133	0.4740797703
134	0.4739424276
135	0.4738514314
136	0.4737439542
137	0.4737048322
138	0.4736013413
139	0.4735249268
140	0.4734701773
141	0.4733710074
142	0.4733112063
143	0.473211021
144	0.4730930459
145	0.472960775
146	0.4729304494
147	0.4729048853
148	0.4728755568
149	0.4728242625
150	0.4727348917
151	0.4725509139
152	0.4723679034
153	0.4723320881
154	0.4722299231
155	0.4722104515
156	0.4720549928
157	0.4720058317
158	0.4719044977
159	0.4718627406
160	0.4717591011
161	0.4716849249
162	0.4716238024
163	0.4714460127
164	0.471327576
165	0.4712761589
166	0.4712342678
167	0.4710771093
168	0.471007319
169	0.4709381002
170	0.4708507205
171	0.4708019305
172	0.4706716707
173	0.4705319342
174	0.4704849973
175	0.4704470486
176	0.4702825886
177	0.4702604579
178	0.4701655668
179	0.4700354163
180	0.4698834829
181	0.4697622121
182	0.4696919799
183	0.4696245404
184	0.4695638873
185	0.4695039999
186	0.4693726537
187	0.4693310152
188	0.4692869053
189	0.4691223636
190	0.4690335184
191	0.4688394586
192	0.4687300656
193	0.4685394758
194	0.4683592411
195	0.4682715934
196	0.4681006447
197	0.4680050365
198	0.4679659108
199	0.4678900128
200	0.4678694643
201	0.467714776
202	0.4677033582
203	0.4676686097
204	0.4676243973
205	0.4675112725
206	0.4674169224
207	0.4673345315
208	0.4672729365
209	0.4671546653
210	0.4670498774
211	0.4668675945
212	0.4667144057
213	0.4666231608
214	0.4664864248
215	0.4664780459
216	0.4662759961
217	0.4662466395
218	0.4662260956
219	0.4661424807
220	0.4660251236
221	0.4659553568
222	0.4658438267
223	0.4656584322
224	0.465624527
225	0.4654655182
226	0.4652960306
227	0.4651506689
228	0.4650162051
229	0.4649716799
230	0.4649064793
231	0.4647654954
232	0.4647214838
233	0.4646041807
234	0.4644104748
235	0.4643303841
236	0.4642837451
237	0.4642125646
238	0.4640549819
239	0.4639604238
240	0.4638001579
241	0.4637545992
242	0.4637190478
243	0.4636159792
244	0.4635816514
245	0.4635391398
246	0.4634816164
247	0.4634078486
248	0.4633765598
249	0.4633621812
