iter	Passed	Remaining
0	51	12725
1	74	9224
2	143	11777
3	176	10825
4	195	9601
5	229	9346
6	258	8966
7	292	8843
8	340	9127
9	386	9270
10	405	8815
11	449	8914
12	470	8569
13	487	8218
14	522	8183
15	540	7902
16	555	7617
17	572	7377
18	603	7338
19	620	7134
20	645	7035
21	661	6856
22	701	6925
23	717	6755
24	734	6610
25	760	6552
26	781	6458
27	824	6539
28	864	6587
29	878	6445
30	916	6476
31	949	6468
32	991	6522
33	1034	6572
34	1057	6498
35	1094	6503
36	1134	6530
37	1178	6575
38	1214	6572
39	1236	6490
40	1282	6536
41	1324	6558
42	1353	6513
43	1384	6480
44	1424	6487
45	1456	6459
46	1506	6504
47	1544	6498
48	1586	6506
49	1609	6438
50	1647	6429
51	1668	6353
52	1705	6339
53	1739	6314
54	1768	6271
55	1815	6290
56	1851	6269
57	1890	6259
58	1924	6229
59	1968	6233
60	2007	6220
61	2048	6212
62	2068	6139
63	2101	6107
64	2118	6028
65	2138	5963
66	2182	5959
67	2224	5953
68	2267	5948
69	2312	5946
70	2359	5948
71	2406	5949
72	2445	5928
73	2489	5920
74	2534	5914
75	2554	5849
76	2599	5840
77	2640	5823
78	2676	5794
79	2717	5774
80	2756	5750
81	2771	5678
82	2815	5665
83	2864	5660
84	2894	5618
85	2917	5564
86	2943	5515
87	2986	5497
88	3027	5476
89	3073	5464
90	3122	5455
91	3153	5416
92	3193	5390
93	3228	5358
94	3270	5335
95	3289	5277
96	3338	5266
97	3394	5264
98	3447	5258
99	3502	5253
100	3547	5233
101	3597	5219
102	3638	5192
103	3688	5177
104	3731	5153
105	3773	5126
106	3814	5097
107	3853	5066
108	3893	5037
109	3933	5006
110	3976	4979
111	4017	4949
112	4058	4921
113	4100	4891
114	4130	4848
115	4168	4815
116	4215	4791
117	4253	4757
118	4291	4723
119	4337	4698
120	4385	4675
121	4428	4646
122	4473	4619
123	4516	4589
124	4558	4558
125	4600	4527
126	4641	4495
127	4681	4461
128	4723	4430
129	4758	4392
130	4803	4363
131	4845	4331
132	4896	4307
133	4939	4275
134	4980	4243
135	5027	4214
136	5069	4181
137	5108	4146
138	5148	4111
139	5194	4081
140	5246	4056
141	5296	4028
142	5341	3996
143	5390	3967
144	5446	3943
145	5501	3918
146	5560	3896
147	5616	3871
148	5654	3832
149	5698	3798
150	5741	3764
151	5789	3732
152	5832	3697
153	5880	3665
154	5934	3637
155	5981	3603
156	6033	3574
157	6089	3545
158	6137	3512
159	6188	3480
160	6233	3445
161	6284	3413
162	6327	3377
163	6370	3340
164	6426	3310
165	6475	3276
166	6519	3240
167	6579	3211
168	6635	3180
169	6681	3144
170	6738	3113
171	6789	3079
172	6834	3041
173	6891	3010
174	6943	2975
175	6997	2942
176	7047	2906
177	7089	2867
178	7137	2831
179	7189	2796
180	7238	2759
181	7289	2723
182	7342	2688
183	7387	2649
184	7429	2610
185	7476	2572
186	7529	2536
187	7575	2498
188	7619	2459
189	7666	2420
190	7714	2382
191	7766	2345
192	7835	2314
193	7891	2278
194	7947	2241
195	7999	2204
196	8051	2166
197	8102	2127
198	8147	2088
199	8206	2051
200	8260	2013
201	8314	1975
202	8371	1938
203	8418	1898
204	8462	1857
205	8511	1817
206	8556	1777
207	8608	1738
208	8658	1698
209	8704	1657
210	8743	1616
211	8787	1575
212	8829	1533
213	8875	1493
214	8922	1452
215	8967	1411
216	9016	1371
217	9055	1329
218	9098	1287
219	9142	1246
220	9186	1205
221	9231	1164
222	9279	1123
223	9325	1082
224	9366	1040
225	9414	999
226	9467	959
227	9510	917
228	9553	876
229	9593	834
230	9641	793
231	9694	752
232	9744	710
233	9799	670
234	9850	628
235	9898	587
236	9957	546
237	10002	504
238	10092	464
239	10213	425
240	10272	383
241	10332	341
242	10386	299
243	10442	256
244	10499	214
245	10549	171
246	10593	128
247	10643	85
248	10687	42
249	10736	0
